# index, meta, _pos
1058,Sfântu Gheorghe,"array([1.44958296, 2.65300576])"
1059,Chichiş,"array([1.44510846, 2.61299747])"
1060,Tişiţa,"array([3.04169662, 1.76280592])"
1061,Tecuci,"array([3.02852164, 1.80611658])"
1062,Albiţa,"array([3.01093415, 1.85671304])"
1063,Leuşeni,"array([2.98775864, 1.91518038])"
1064,Săbăoani,"array([3.09735704, 2.07982687])"
1065,Bălţi,"array([2.99942956, 2.10328461])"
1066,Mohyliv-Podilskyi,"array([2.93649971, 2.10306552])"
1067,Poltava,"array([2.91078206, 1.89562045])"
1068,Giurgiuleşti,"array([3.06300304, 1.97124239])"
1069,Krasnodar,"array([3.27033265, 1.54130132])"
1070,Djoubga,"array([3.29609345, 1.56823113])"
1071,Niort,"array([2.56736735, 3.81308976])"
1072,Saintes,"array([2.64536482, 3.81189017])"
1073,Angoulême,"array([2.70490841, 3.81860286])"
1074,Limoges,"array([2.68389876, 3.86523178])"
1075,Digoin,"array([1.56323666, 2.81176416])"
1076,Chalon-sur-Saône,"array([1.5571465 , 2.84830679])"
1077,Pont-d'Ain,"array([2.83651046, 3.66262717])"
1078,St. Johann in Tirol,"array([3.28281986, 3.16511623])"
1079,Lofer,"array([3.26408414, 3.11941145])"
1080,Altenmarkt im Pongau,"array([3.30388175, 3.00543634])"
1081,Loiblpass,"array([3.42069927, 2.9833877 ])"
1082,Torniyiszentmiklós,"array([3.5734421 , 2.74379989])"
1083,Balatonkeresztúr,"array([4.2813491 , 3.04051064])"
1084,Nagyatád,"array([4.24790411, 3.01095057])"
1085,Barcs,"array([4.20957275, 2.97833831])"
1086,Virovitica,"array([4.16710089, 2.94338889])"
1087,Okučani,"array([4.11980555, 2.90611228])"
1088,Banja Luka,"array([4.06580302, 2.8662423 ])"
1089,Jajce,"array([4.00104524, 2.82656356])"
1090,Donji Vakuf,"array([3.93279071, 2.77593852])"
1091,Sombor,"array([3.56261946, 2.56226132])"
1092,Lugoj,"array([1.99860776, 1.86305984])"
1093,Ilia,"array([2.00950136, 1.89903553])"
1094,Negru Vodă,"array([3.38912213, 1.85798504])"
1095,Kardam,"array([3.39330148, 1.81064153])"
1096,Ashtarak,"array([1.73427811, 3.50272108])"
1097,Gyumri,"array([1.770136  , 3.48641337])"
1098,Ashotsk,"array([1.81051818, 3.47411485])"
1099,Akhalkalaki,"array([1.85253458, 3.46922801])"
1100,Akhaltsikhe,"array([1.89495888, 3.47444086])"
1101,"Vale, Georgia","array([1.93336672, 3.49381703])"
1102,Türkgözü,"array([1.95896768, 3.52802513])"
1103,Posof,"array([1.96821802, 3.56938099])"
1104,Kars,"array([1.96666612, 3.61178309])"
1105,Horasan,"array([1.9605779 , 3.65110256])"
1106,Supsa,"array([2.95551224, 1.44720123])"
1107,Lanchkhuti,"array([2.91066077, 1.45062051])"
1108,Grenoble,"array([2.8080512 , 3.69972351])"
1109,Marseille,"array([2.88919213, 3.68928494])"
1110,Valence,"array([2.81406773, 3.74991992])"
1111,Savona,"array([3.14308487, 3.69929687])"
1112,Pula,"array([3.67304969, 2.94236056])"
1113,Koper,"array([3.71495833, 2.96271897])"
1114,Bihać,"array([4.01018264, 2.86768788])"
1115,Sarajevo,"array([3.83030371, 2.64573808])"
1116,Užice,"array([3.81566483, 2.59783088])"
1117,Čačak,"array([3.76280173, 2.54700629])"
1118,Kraljevo,"array([3.85149422, 2.55437263])"
1119,Kruševac,"array([3.92324248, 2.56832803])"
1120,Pojate,"array([3.9849907 , 2.58420289])"
1121,Paraćin,"array([4.03772502, 2.60037567])"
1122,Zaječar,"array([4.08141304, 2.61537386])"
1123,Nova Varoš,"array([3.75695031, 2.50788392])"
1124,Yablanitsa,"array([3.65379076, 1.97059548])"
1125,Popovica,"array([3.68285321, 1.88865557])"
1126,Coimbra,"array([2.59734097, 4.40042699])"
1127,Viseu,"array([2.63998186, 4.38428534])"
1128,Chaves,"array([2.72855582, 4.41246029])"
1129,Verín,"array([2.77374326, 4.42595112])"
1130,Guarda,"array([2.59504604, 4.51766903])"
1131,Castelo Branco,"array([2.54964118, 4.57693983])"
1132,Portalegre,"array([2.53493487, 4.63701523])"
1133,Évora,"array([2.51353152, 4.6888781 ])"
1134,Beja,"array([2.49088453, 4.73301371])"
1135,Ourique,"array([2.4693792, 4.7700513])"
1136,Salamanca,"array([2.56822603, 4.22457648])"
1137,Mérida,"array([2.59299037, 4.17902937])"
1138,Logroño,"array([2.86962961, 4.0678958 ])"
1139,Famalicão,"array([2.73745178, 4.45942466])"
1140,Torres Novas,"array([2.45432169, 4.59375691])"
1141,Abrantes,"array([2.49793544, 4.58398999])"
1142,San Cesareo,"array([3.31016164, 3.84201592])"
1143,Olbia,"array([1.53084547, 3.10314034])"
1144,Avellino,"array([3.60681483, 3.91552997])"
1145,Benevento,"array([3.54297656, 3.92023112])"
1146,Spezzano Albanese,"array([2.14027457, 1.95048771])"
1147,Sybaris,"array([2.12100565, 1.91840971])"
1148,Crotone,"array([3.75396353, 4.08465205])"
1149,Potenza,"array([3.64868786, 4.045682  ])"
1150,Sant'Eufemia Lamezia,"array([3.8349214 , 2.98432953])"
1151,Catanzaro,"array([3.85602675, 3.01550368])"
1152,Prizren,"array([3.79752545, 2.55515643])"
1153,Kyustendil,"array([3.81850194, 2.3073436 ])"
1154,Balıkesir,"array([4.05721503, 1.79707329])"
1155,Manisa,"array([4.12081216, 1.81408743])"
1156,Çeşme,"array([4.21572776, 1.86680752])"
1157,Jaén,"array([2.39990092, 4.24400451])"
1158,Granada,"array([2.43884889, 4.21531814])"
1159,Buonfornello,"array([1.89761477, 2.19100597])"
1160,Enna,"array([1.91725524, 2.22557347])"
1161,Alcamo,"array([2.74760332, 2.01920759])"
1162,Trapani,"array([2.74080891, 1.98290437])"
1163,Arta,"array([4.27681074, 2.35989924])"
1164,Agrinio,"array([4.28763671, 2.41015098])"
1165,Messolonghi,"array([4.29856536, 2.45292417])"
1166,Aktio,"array([4.54936204, 2.17638171])"
1167,Vonitsa,"array([4.50528637, 2.17761871])"
1168,Amfilochia,"array([4.45295821, 2.17693242])"
1169,Karpenisi,"array([4.39332436, 2.17252974])"
1170,Sparti,"array([4.60630476, 2.61683053])"
1171,Gytheio,"array([4.62880089, 2.65473896])"
1172,Eleusina,"array([1.57759833, 2.57711626])"
1173,Thebes,"array([1.57580042, 2.61485479])"
