index,_pos
587,"array([5.88972825, 4.64065435])"
588,"array([6.04160699, 4.60991455])"
589,"array([6.01549184, 4.60684216])"
590,"array([5.977095  , 4.58723114])"
591,"array([5.9458145, 4.5928426])"
592,"array([6.13563608, 4.65981348])"
593,"array([6.11242246, 4.64020635])"
594,"array([6.05696512, 4.5921201 ])"
595,"array([6.0311688 , 4.57992317])"
596,"array([5.9990496 , 4.57900602])"
597,"array([5.98182295, 4.55756976])"
598,"array([6.19504242, 4.6168636 ])"
599,"array([6.1609894 , 4.60839807])"
600,"array([6.1390779 , 4.59442099])"
601,"array([6.06430803, 4.53907595])"
602,"array([6.02300533, 4.5456452 ])"
603,"array([5.99995794, 4.5004015 ])"
604,"array([6.19395677, 4.59890708])"
605,"array([6.16964285, 4.5893723 ])"
606,"array([6.12034301, 4.54149772])"
607,"array([6.10042396, 4.54462957])"
608,"array([6.05856635, 4.50059301])"
609,"array([6.03561175, 4.47985101])"
610,"array([6.19946687, 4.57784715])"
611,"array([6.16869384, 4.57095719])"
612,"array([6.17008873, 4.5198781 ])"
613,"array([6.1384652 , 4.48856262])"
614,"array([6.09412117, 4.47722   ])"
615,"array([6.08469497, 4.4546629 ])"
616,"array([6.19099864, 4.55887749])"
617,"array([6.20134816, 4.53285729])"
618,"array([6.19151564, 4.50983954])"
619,"array([6.17553087, 4.49438372])"
620,"array([6.12838313, 4.45534638])"
621,"array([6.07724381, 4.41196324])"
622,"array([6.23500841, 4.51052702])"
623,"array([6.21339647, 4.50288889])"
624,"array([6.21023878, 4.46037081])"
625,"array([6.18087793, 4.45118184])"
626,"array([6.15444371, 4.39970626])"
627,"array([6.11606361, 4.40038505])"
628,"array([6.2648813 , 4.49396066])"
629,"array([6.31510889, 4.43645938])"
630,"array([6.29542138, 4.43315823])"
631,"array([6.26126271, 4.38627038])"
632,"array([6.22640434, 4.37482686])"
633,"array([6.15807257, 4.35820103])"
634,"array([6.33376913, 4.41548783])"
635,"array([6.31749074, 4.40701171])"
636,"array([6.29288136, 4.38321288])"
637,"array([6.26041779, 4.35829557])"
638,"array([6.22439256, 4.33577158])"
639,"array([6.21763284, 4.30996084])"
640,"array([6.38136804, 4.38236896])"
641,"array([6.35244514, 4.39561294])"
642,"array([6.33745958, 4.3614972 ])"
643,"array([6.2818559 , 4.34919876])"
644,"array([6.25269158, 4.33041721])"
645,"array([6.23855382, 4.29894859])"
646,"array([6.44322494, 4.37386466])"
647,"array([6.39625496, 4.34624267])"
648,"array([6.36532661, 4.36150105])"
649,"array([6.28330346, 4.32052723])"
650,"array([6.28857744, 4.28751215])"
651,"array([6.27069072, 4.27646354])"
652,"array([6.46514653, 4.35195691])"
653,"array([6.42983467, 4.3227001 ])"
654,"array([6.39205198, 4.30132548])"
655,"array([6.33883075, 4.31267621])"
656,"array([6.32675407, 4.26287991])"
657,"array([6.31834682, 4.20867721])"
658,"array([6.46996649, 4.32552942])"
659,"array([6.44372111, 4.31094864])"
660,"array([6.40796595, 4.28320783])"
661,"array([6.38906005, 4.27766733])"
662,"array([6.34287741, 4.22879059])"
663,"array([6.38696385, 4.13780055])"
664,"array([6.4860776 , 4.34052925])"
665,"array([6.48301924, 4.31136368])"
666,"array([6.43014196, 4.25311904])"
667,"array([6.40287749, 4.24754573])"
668,"array([6.38319364, 4.24356494])"
669,"array([6.40556572, 4.12155626])"
670,"array([6.52139624, 4.31632984])"
671,"array([6.47182616, 4.26761012])"
672,"array([6.42860557, 4.22675443])"
673,"array([6.41366291, 4.23584971])"
674,"array([6.43017895, 4.11676375])"
675,"array([6.44161364, 4.09716067])"
676,"array([6.55248222, 4.25561516])"
677,"array([6.49507276, 4.25444367])"
678,"array([6.50662688, 4.23873311])"
679,"array([6.47116212, 4.13816376])"
680,"array([6.4709395 , 4.11780614])"
681,"array([6.46599298, 4.09292835])"
682,"array([6.56300889, 4.24511603])"
683,"array([6.55217436, 4.20918039])"
684,"array([6.54048519, 4.17268236])"
685,"array([6.52947603, 4.14529862])"
686,"array([6.50399293, 4.10036584])"
687,"array([6.48888029, 4.07898565])"
688,"array([6.5954934, 4.1754459])"
689,"array([6.56645934, 4.13889819])"
