# index, name, nodeLabel, nodeLat, nodeLong, _pos
261,kensington(olympia),kensington(olympia),51.497879724483,-0.21036483866639,"array([1.95880535, 7.27073166])"
262,kentishtown,kentishtown,51.550009538423,-0.14045684366827,"array([1.65127218, 7.25727347])"
263,southkenton,southkenton,51.571044486824,-0.30812855062663,"array([1.85499988, 7.4492039 ])"
264,kewgardens,kewgardens,51.476789170755,-0.28536661446493,"array([1.97786235, 7.39264627])"
265,kilburn,kilburn,51.546944459981,-0.20461829997264,"array([1.72890434, 7.32249933])"
266,kilburnhighroad,kilburnhighroad,51.537267764059,-0.19109868962017,"array([1.79879947, 7.26053391])"
267,kilburnpark,kilburnpark,51.535135560206,-0.19395164168612,"array([1.84857643, 7.30822937])"
268,maidavale,maidavale,51.529995078969,-0.18541823310956,"array([1.83802548, 7.32022685])"
269,kinggeorgev,kinggeorgev,51.502008599189,0.062220618931645,"array([1.78315207, 6.74318907])"
270,woolwicharsenal,woolwicharsenal,51.489907107526,0.069208307647642,"array([1.79072168, 6.72624242])"
271,kingsbury,kingsbury,51.584876550714,-0.27858717715014,"array([1.77102983, 7.39101704])"
272,wembleypark,wembleypark,51.563322491915,-0.27922812839087,"array([1.77877673, 7.36258157])"
273,knightsbridge,knightsbridge,51.501354916808,-0.16065008131194,"array([1.88280762, 7.18929679])"
274,ladbrokegrove,ladbrokegrove,51.517210698742,-0.21018376269161,"array([1.74635672, 7.3588014 ])"
275,latimerroad,latimerroad,51.513958124663,-0.21744525733064,"array([1.72241036, 7.38223252])"
276,westbournepark,westbournepark,51.520988865484,-0.20086810419124,"array([1.77173165, 7.33673345])"
277,lambethnorth,lambethnorth,51.499129959063,-0.11175385704735,"array([1.84231887, 7.05291231])"
278,lancastergate,lancastergate,51.511890964101,-0.17541552045722,"array([1.86055318, 7.22953014])"
279,marblearch,marblearch,51.513965510738,-0.15855680746603,"array([1.83613905, 7.21500234])"
280,woodlane,woodlane,51.509658221839,-0.2244582012666,"array([1.70173513, 7.40202167])"
281,leicestersquare,leicestersquare,51.511291196842,-0.12822773962177,"array([1.79400625, 7.1393462 ])"
282,leyton,leyton,51.55813227051,-0.0064509088011814,"array([1.63954838, 6.84712478])"
283,leytonstone,leytonstone,51.568522287449,0.009154878018083,"array([1.61305068, 6.80977303])"
284,leytonmidlandroad,leytonmidlandroad,51.569364239801,-0.0080519210997184,"array([1.52833963, 7.01878445])"
