endTime,artistName,trackName,msPlayed,district
2023-12-18 07:39:00,Kali Uchis,Just A Stranger (feat. Steve Lacy),177697,Śródmieście
2023-12-18 07:42:00,Hotel Ugly,I Think I Left the Stove On,202490,Śródmieście
2023-12-18 07:47:00,"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),255653,Śródmieście
2023-12-18 07:49:00,Steve Lacy,Hate CD,160182,Śródmieście
2023-12-18 07:52:00,Crumb,Ghostride,126120,Śródmieście
2023-12-18 07:55:00,The Marías,Over the Moon,182900,Śródmieście
2023-12-18 07:59:00,Frank Ocean,Lost,234093,Śródmieście
2023-12-18 08:01:00,Hotel Ugly,Shut up My Moms Calling - (Sped Up),135529,Śródmieście
2023-12-18 08:02:00,Steve Lacy,Bars. 16,46904,Śródmieście
2023-12-18 08:04:00,WILLOW,Time Machine,143640,Śródmieście
2023-12-18 08:06:00,Tame Impala,Nangs,107533,Śródmieście
2023-12-18 08:08:00,"Dream, Ivory",welcome and goodbye,140643,Śródmieście
2023-12-18 08:11:00,Kali Uchis,Your Teeth In My Neck,186181,Śródmieście
2023-12-18 08:14:00,Steve Lacy,Some,180695,Śródmieście
2023-12-18 08:17:00,Hotel Ugly,The Mannequin Song,164210,Śródmieście
2023-12-18 08:19:00,Jakob,Velvet Light,141587,Śródmieście
2023-12-18 08:22:00,Dominic Fike,Mama's Boy,155721,Śródmieście
2023-12-18 08:26:00,Thee Sacred Souls,Will I See You Again?,240653,Śródmieście
2023-12-18 08:29:00,Steve Lacy,Lay Me Down,183074,Śródmieście
2023-12-18 08:31:00,Vampire Weekend,Sunflower (feat. Steve Lacy),137600,Śródmieście
2023-12-18 08:34:00,Hotel Ugly,Goose Neck,181910,Śródmieście
2023-12-18 08:36:00,Yves Tumor,Romanticist,106102,Śródmieście
2023-12-18 08:38:00,Dominic Fike,Babydoll,97960,Śródmieście
2023-12-18 08:41:00,Steve Lacy,Buttons,184973,Śródmieście
2023-12-18 08:44:00,Aaron May,Let Go,176531,Śródmieście
2023-12-18 08:48:00,Mac DeMarco,On the Level,227653,Śródmieście
2023-12-18 08:51:00,Clairo,Pretty Girl,178352,Śródmieście
2023-12-18 08:52:00,Men I Trust,Oncle Jazz,57876,Śródmieście
2023-12-18 08:54:00,Steve Lacy,In Lust We Trust,120770,Śródmieście
2023-12-18 08:55:00,BROCKHAMPTON,SUMMER,51267,Śródmieście
2023-12-18 08:58:00,Kali Uchis,Your Teeth In My Neck,186181,Śródmieście
2023-12-18 09:01:00,Steve Lacy,Some,180695,Śródmieście
2023-12-18 09:03:00,Hotel Ugly,The Mannequin Song,164210,Śródmieście
2023-12-18 09:06:00,Jakob,Velvet Light,141587,Śródmieście
2023-12-18 09:08:00,Dominic Fike,Mama's Boy,155721,Śródmieście
2023-12-18 09:12:00,Thee Sacred Souls,Will I See You Again?,240653,Śródmieście
2023-12-18 09:15:00,Steve Lacy,Lay Me Down,183074,Śródmieście
2023-12-18 09:18:00,Vampire Weekend,Sunflower (feat. Steve Lacy),137600,Śródmieście
2023-12-18 09:21:00,Hotel Ugly,Goose Neck,181910,Śródmieście
2023-12-18 09:23:00,Yves Tumor,Romanticist,106102,Śródmieście
2023-12-18 09:24:00,Dominic Fike,Babydoll,97960,Śródmieście
2023-12-18 09:27:00,Steve Lacy,Buttons,184973,Śródmieście
2023-12-18 09:30:00,Aaron May,Let Go,176531,Śródmieście
2023-12-18 09:34:00,Mac DeMarco,On the Level,227653,Śródmieście
2023-12-18 09:37:00,Clairo,Pretty Girl,178352,Śródmieście
2023-12-18 09:38:00,Men I Trust,Oncle Jazz,57876,Śródmieście
2023-12-18 09:40:00,Steve Lacy,In Lust We Trust,120770,Śródmieście
2023-12-18 09:43:00,BROCKHAMPTON,SUMMER,204939,Śródmieście
2023-12-18 09:45:00,Tame Impala,Disciples,108546,Śródmieście
2023-12-18 09:46:00,Vansire,From the Subway Train,57370,Śródmieście
2023-12-18 09:49:00,TV Girl,It Almost Worked,152000,Śródmieście
2023-12-18 09:51:00,Steve Lacy,Thats No Fun,161900,Śródmieście
2023-12-18 09:54:00,Still Woozy,Goodie Bag,146390,Śródmieście
2023-12-18 09:56:00,Joji,CAN'T GET OVER YOU (feat. Clams Casino),107076,Śródmieście
2023-12-18 09:59:00,Frank Ocean,Chanel,210285,Śródmieście
2023-12-18 10:02:00,Mild High Club,Homage,177493,Śródmieście
2023-12-18 10:03:00,Steve Lacy,Bars. 16,46904,Śródmieście
2023-12-18 10:06:00,Isaiah Rashad,Headshots (4r da Locals),193208,Śródmieście
2023-12-18 10:08:00,Hotel Ugly,Is there free breakfast here?,129200,Śródmieście
2023-12-18 10:11:00,Men I Trust,Sugar,176315,Śródmieście
2023-12-18 10:13:00,Eyedress,Body Dysmorphia,125085,Śródmieście
2023-12-18 10:17:00,Tame Impala,Is It True,239266,Śródmieście
2023-12-18 10:19:00,Steve Lacy,I Think I Should,99253,Śródmieście
2023-12-18 10:23:00,Omar Apollo,Evergreen (You Didn’t Deserve Me At All),216680,Śródmieście
2023-12-18 10:25:00,Crumb,Ghostride,126120,Śródmieście
2023-12-18 10:28:00,Men I Trust,Tree Among Shrubs,188301,Śródmieście
2023-12-18 10:31:00,Isaiah Rashad,Silkk da Shocka (feat. Syd),166086,Śródmieście
2023-12-18 10:33:00,Hotel Ugly,Shut up My Moms Calling - (Sped Up),135529,Śródmieście
2023-12-18 10:36:00,Strawberry Guy,Mrs Magic,208500,Śródmieście
2023-12-18 10:39:00,Steve Lacy,Out of Me Head,141055,Śródmieście
2023-12-18 10:41:00,Tame Impala,Nangs,107533,Śródmieście
2023-12-18 10:44:00,Men I Trust,I Hope to Be Around,205554,Śródmieście
2023-12-18 10:47:00,Isaiah Rashad,West Savannah (feat. SZA),167276,Śródmieście
2023-12-18 10:48:00,Orion Sun,Mirage,57495,Śródmieście
2023-12-18 10:51:00,Hotel Ugly,Action Figures Fighting,163413,Śródmieście
2023-12-18 10:53:00,Eyedress,Something About You,153312,Śródmieście
2023-12-18 10:54:00,Steve Lacy,Cocky Girl,53333,Śródmieście
2023-12-18 10:58:00,Men I Trust,Show Me How,215110,Śródmieście
2023-12-18 10:59:00,MAVI,"Love, of Money",64765,Śródmieście
2023-12-18 11:00:00,Omar Apollo,Hey Boy (feat. Kali Uchis),102160,Śródmieście
2023-12-18 11:02:00,Macabre Plaza,A Bird's Last Look,69565,Śródmieście
2023-12-18 11:04:00,Yot Club,no way !,166458,Śródmieście
2023-12-18 11:05:00,Steve Lacy,When I,60952,Śródmieście
2023-12-18 11:09:00,Men I Trust,Seven,225394,Śródmieście
2023-12-18 11:12:00,The Walters,I Love You So,160239,Śródmieście
2023-12-18 11:15:00,Matt Maltese,Everyone Adores You (at least I do),203133,Śródmieście
2023-12-18 11:16:00,Earl Sweatshirt,Riot!,66133,Śródmieście
2023-12-18 11:18:00,Steve Lacy,Some,118393,Śródmieście
