"","Imie","Rozszerzenie","Nazwa_pliku","Data_utworzenia","Data_ostatniej_modefikacji","Liczba_linii","Liczba_wierszy","Liczba_znaków","abstract","assert","boolean","break.","byte","case","catch","char","class","continue","default","do","double","else.","enum","extends","final","finally","for.","if.","implements","import","instanceof","int","interface","long","native","new","package","private","protected","public","return","short","static","super","switch","synchronized","this","throw","throws","transient","try","void","volatile","while.","exports","module","non.sealed","open","opens","permits","provides","record","requires","sealed","to","transitive","uses","var","with","yield","true","false","null","liczba_znakow_w_komantarzu_w_linii","liczba_komentarzy_w_linii","liczba_znakow_w_komentarzu_w_bloku","liczba_komentarzy_w_bloku","Najdluzszy_wyraz"
"46","Sebastian","java","ConstructionManager.java","2023-10-03","2023-05-16",31,67,1382,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ConstructionManagerException"
"47","Sebastian","java","ConstructionManagerException.java","2023-10-03","2023-05-16",9,18,224,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ConstructionManagerException"
"48","Sebastian","java","Sponsor.java","2023-10-03","2023-05-16",16,38,475,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,69,1,0,0,"ConstructionCompany"
"49","Sebastian","java","ConcreteTeam.java","2023-10-03","2023-05-16",10,14,170,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ConcreteTeam"
"50","Sebastian","java","ConstructionTeam.java","2023-10-03","2023-05-16",12,24,429,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ConstructionTeam"
"51","Sebastian","java","SpawarkaZepsutaException.java","2023-10-03","2023-05-16",11,17,323,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SpawarkaZepsutaException"
"52","Sebastian","java","Welder.java","2023-10-03","2023-05-16",15,30,349,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SpawarkaZepsutaException"
"53","Sebastian","java","ToolStorage.java","2023-10-03","2023-05-16",13,37,395,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,117,2,0,0,"inicjalizacji"
"54","Sebastian","java","UkradliSpawarkeException.java","2023-10-03","2023-05-16",9,15,229,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UkradliSpawarkeException"
"55","Sebastian","java","WelderTeam.java","2023-10-03","2023-05-16",19,40,540,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"WelderTeamException"
"56","Sebastian","java","WelderTeamException.java","2023-10-03","2023-05-16",9,16,219,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WelderTeamException"
"57","Sebastian","java","AnotherException.java","2023-10-03","2023-05-16",13,53,461,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,2,"AnotherException"
"58","Sebastian","java","FirstException.java","2023-10-03","2023-05-16",5,9,118,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FirstException"
"59","Sebastian","java","NonRelatedWithRootException.java","2023-10-03","2023-05-16",5,9,127,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NonRelatedWithRootException"
"60","Sebastian","java","RootException.java","2023-10-03","2023-05-16",5,20,204,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,0,0,"RootException"
"61","Sebastian","java","SecondException.java","2023-10-03","2023-05-16",5,9,119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SecondException"
"62","Sebastian","java","SophisticatedSecondException.java","2023-10-03","2023-05-16",5,9,134,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SophisticatedSecondException"
"63","Sebastian","java","ThirdException.java","2023-10-03","2023-05-16",5,9,119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ThirdException"
"64","Sebastian","java","ExtendedMyThrower.java","2023-10-03","2023-05-16",7,21,230,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,22,1,"ExtendedMyThrower"
"65","Sebastian","java","MyThrower.java","2023-10-03","2023-05-16",23,46,791,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SophisticatedSecondException"
